url,isMalicious
songlyrics.com/news/riffd-the-shins-heartworms,0
imaging-resource.com/PRODS/olympus-e-m1-ii/olympus-e-m1-iiA.HTM,0
gosugamers.net/lol/streams,0
thingiverse.com/corkyzett/collections/intlwomensday,0
bausch.com/our-products/contact-lens-care/specialty-lens-care-products,0
w88mobile.org/game/5151.html,0
datacenterdynamics.com/awards/latin-america-awards,0
123people.com/s/marc+pageau,0
nownews.com/n/2017/03/21/2449327,0
wikipedia.org/wiki/Plague_Park,0
cert.org/contact/?refPage=1385,0
quickmeme.com/page/1,0
divorcesource.com/ds/main/site-map-1457.shtml,0
cancertutor.com/discussions/how-can-i-suggest-an-alternative-treatment-for-a-family-member,0
byu.edu/about-byu/accreditation,0
twitter.com/intent/tweet?url=www.thecalifornian.com/picture-gallery/news/2017/03/07/photos-salinas-sanctuary-city-demonstrationlawsuit-announcement/98883962/&text=PHOTOS%20Salinas%20sanctuary%20city%20demonstration/lawsuit%20announcement&via=salnews,0
technologyevaluation.com,0
gurl.com/category/your-life,0
articlesbase.com/art-and-entertainment-articles/my-top-10-all-time-black-and-white-american-films-before-1962-1974249.html,0
wikipilipinas.org/index.php?title=Sabas%2C_Ang_Barbaro,0
ipsnews.net/primary-region/global,0
lazada.co.id/sanken-official-store,0
fastweb.it/adsl-fibra-ottica/rete-mobile/?from=menu_home,0
php100.com/sjhass/c8bvkf2p,0
bleep.com/label/605-infin,0
ecocontrolsystem.com.br/ecocontrolsystem.com.br/mecs.html,0
brunel.ac.uk/about/chls,0
perl.com/pub/2002/10,0
nmgnews.com.cn/system/2016/11/26/012198481.shtml,0
libertylondon.com/uk/brands/n/noodoll,0
needsupply.com/life/living/textiles,0
kommersant.ua/doc/3247962?utm_source=kommersant&utm_medium=business&utm_campaign=four,0
codeweavers.com/account/downloads,0
cddgg.net/category/472,0
hbrc.com.cn/Jobs/content/id/886346/code/92af.html,0
bmwusa.com/Secured/Content/Forms/Logout.aspx?LOGOUT=1,0
czu.cz/cs/r-7210-o-czu/r-7701-pr-a-media/r-8114-fotogalerie/cestny-doktorat-obdrzel-martin-kropff.html,0
theregister.co.uk/emergent_tech/internet_of_things,0
bitauto.com/lay/449167.html,0
slideshare.net/inacentaur/branding-for-a-cause-the-creation-of-the-ina-centaur-sl-shakespeare-company,0
marksandspencer.com/l/men/all-accessories,0
rumormillnews.com/cgi-bin/forum.cgi?noframes;read=60501,0
path.org/our-work/mozambique.php,0
steelermaniacs.com,0
elpais.com/usuarios.elpais.com/newsletters/?id_externo_promo=rpv_newsletters_bar_ep,0
bibsonomy.org/layout/chicago/bibtex/23a77af13aa5f86a41d3815b46979fb79/laimbee?formatEmbedded=true,0
kitsapsun.com/terms,0
dpreview.com/products/fujifilm/slrs/fujifilm_xt2,0
2144.cn/www.2144.cn/html/11/73873,0
88db.com.hk/Buy-Sell/Clothing-Accessories-Children/1,0
"bj-jiameiyi.com.cn?""../ky/msfd/201307/t20130731_546684.html""",0
schuh.co.uk/accessories,0
opticsplanet.com/www.opticsplanet.com/handguards-and-forends.html,0
es http:/www.es/20-en-microondas-candy/cat2008299/c?ic_source=portal-home&ic_medium=menu-promo&ic_campaign=&ic_content=category,0
google.com/+Hipchat/posts,0
eso.org/public/announcements/ann16002,0
topdocumentaryfilms.com/hackers-world-anonymous-investigation,0
comdisneyana/novelty,0
stdaily.com/index/kejidaguan/2017-03/20/content_525905.shtml,0
zhanghongwei.com.cn/html/fazhixinwen,0
leedsmet.ac.uk/carnegieleaders,0
victoria-is-awesome.com,0
microsoft.com/en-us/cloud-platform/hybrid-cloud,0
wbaltv.com/article/tebow-to-start-with-minor-league-baseball-team-in-south-carolina/9158242,0
fujisan.co.jp/product/1281695005,0
dallascowboys.com/team/players/roster/charles-tapper,0
northwestindiana.com/cities/cities.html,0
leahlukens.com/alternatives-to-viagra,0
5iheze.cn/news/news/1.html,0
etsy.com/c/electronics-and-accessories/docking-and-stands?ref=catnav-2961,0
wordpress.com,0
iitk.ac.in/counsel,0
electronista.com/www.facebook.com/macnn,0
burgundy-report.com/?wine=bourgogne-blanc&domaine=bouree-pierre-fils,0
knack.be/nieuws/wereld,0
merip.org/author/joshua-stacher,0
comatlassian-gadgets-spi/3.1.1/atlassian-gadgets-spi,0
instagram.com/lamontagne.fr,0
chemicool.com/elements/promethium.html,0
zagat.com/set-city/detroit,0
azeroth.su/map/sitemap21.html,0
herald-dispatch.com/multimedia/photo_galleries/photos-house-fire-on-rd-avenue/collection_74b38bdc-0a8b-11e7-a945-2bf2987106e8.html,0
barnesandnoble.com/w/beautiful-chaos-kami-garcia/1100744837,0
cografyaegitimi.biz/kavram-haritalari-b42.0,0
aei.org/press,0
att.com/accessories,0
topspeed.com/cars/car-news/the-fittipaldi-ef7-is-proof-that-dreams-do-come-true-ar176135/picture708761.html,0
atmel.com/about/careers/default.aspx,0
spain.info/en_US/rss,0
swinburne.edu.au/study/find-a-course,0
olympic.ca/en/athletes/eric-lamaze,0
finishingtouchesffa.com/About,0
duckduckgo.com/1/c/Pre-Confederation_Canadian_businesspeople,0
cbsinteractive.com/privacy,0
amazon.com/Seasoned-Veteran-Vinyl-Richie-Rich/dp/B0000024LP,0
hitched.co.uk/wedding-shoes,0
foodsafety.gov/keep/basics/index.html,0
twitter.com/rockitchen,0
gurufocus.com/news/150906/commerce-bancshares-inc-reports-operating-results-10q,0
trails.com/norman_oklahoma-hotels.html,0
chron.com/entertainment/rodeo/article/Siggno-and-Banda-el-Recodo-draw-big-Go-Tejano-Day-11012819.php,0
tweaktown.com/cat/cpu_apu_and_chipsets/nvidia-chipsets/index.html,0
jobui.com/jobs/l-%E5%85%A8%E5%9B%BD-q-%E5%95%86%E5%8A%A1%E5%8A%A9%E7%90%86,0
